№,Секунда,Микросекунда
1,20,299515
2,20,299515
3,20,299515
4,20,299515
5,20,299515
6,20,299515
7,20,299515
8,20,299515
9,20,299515
10,20,299515
11,20,299515
12,20,299515
13,20,299515
14,20,299515
15,20,299515
16,20,299515
17,20,299515
18,20,299515
19,20,299515
20,20,299515
21,20,299515
22,20,299515
23,20,299515
24,20,299515
25,20,299515
26,20,299515
27,20,299515
28,20,299515
29,20,299515
30,20,299515
31,20,299515
32,20,299515
33,20,299515
34,20,299515
35,20,299515
36,20,299515
37,20,299515
38,20,299515
39,20,299515
40,20,299515
41,20,299515
42,20,299515
43,20,299515
44,20,299515
45,20,299515
46,20,299515
47,20,299515
48,20,299515
49,20,299515
50,20,299515
51,20,299515
52,20,299515
53,20,299515
54,20,299515
55,20,299515
56,20,299515
57,20,299515
58,20,299515
59,20,299515
60,20,299515
61,20,299515
62,20,299515
63,20,299515
64,20,299515
65,20,299515
66,20,299515
67,20,299515
68,20,299515
69,20,299515
70,20,299515
71,20,299515
72,20,299515
73,20,299515
74,20,299515
75,20,299515
76,20,299515
77,20,299515
78,20,299515
79,20,299515
80,20,299515
81,20,299515
82,20,299515
83,20,299515
84,20,299515
85,20,299515
86,20,299515
87,20,299515
88,20,299515
89,20,299515
90,20,299515
91,20,299515
92,20,299515
93,20,299515
94,20,299515
95,20,299515
96,20,299515
97,20,299515
98,20,299515
99,20,299515
100,20,299515
101,20,299515
102,20,299515
103,20,299515
104,20,299515
105,20,299515
106,20,299515
107,20,299515
108,20,299515
109,20,299515
110,20,299515
111,20,299515
112,20,299515
113,20,299515
114,20,299515
115,20,299515
116,20,299515
117,20,299515
118,20,299515
119,20,299515
120,20,299515
121,20,299515
122,20,299515
123,20,299515
124,20,299515
125,20,299515
126,20,299515
127,20,299515
128,20,299515
129,20,299515
130,20,299515
131,20,299515
132,20,299515
133,20,299515
134,20,299515
135,20,299515
136,20,299515
137,20,299515
138,20,299515
139,20,299515
140,20,299515
141,20,299515
142,20,299515
143,20,299515
144,20,299515
145,20,299515
146,20,299515
147,20,299515
148,20,299515
149,20,299515
150,20,299515
151,20,299515
152,20,299515
153,20,299515
154,20,299515
155,20,299515
156,20,299515
157,20,299515
158,20,299515
159,20,299515
160,20,299515
161,20,299515
162,20,299515
163,20,299515
164,20,299515
165,20,299515
166,20,299515
167,20,299515
168,20,299515
169,20,299515
170,20,299515
171,20,299515
172,20,299515
173,20,299515
174,20,299515
175,20,299515
176,20,299515
177,20,299515
178,20,299515
179,20,299515
180,20,299515
181,20,299515
182,20,299515
183,20,299515
184,20,299515
185,20,299515
186,20,299515
187,20,299515
188,20,299515
189,20,299515
190,20,299515
191,20,299515
192,20,299515
193,20,299515
194,20,299515
195,20,299515
196,20,299515
197,20,299515
198,20,299515
199,20,299515
200,20,299515
201,20,299515
202,20,299515
203,20,299515
204,20,299515
205,20,299515
206,20,299515
207,20,299515
208,20,299515
209,20,299515
210,20,299515
211,20,299515
212,20,299515
213,20,299515
214,20,299515
215,20,299515
216,20,299515
217,20,299515
218,20,299515
219,20,299515
220,20,299515
221,20,299515
222,20,299515
223,20,299515
224,20,299515
225,20,299515
226,20,299515
227,20,299515
228,20,299515
229,20,299515
230,20,299515
231,20,299515
232,20,299515
233,20,299515
234,20,299515
235,20,299515
236,20,299515
237,20,299515
238,20,299515
239,20,299515
240,20,299515
241,20,299515
242,20,299515
243,20,299515
244,20,299515
245,20,299515
246,20,299515
247,20,299515
248,20,299515
249,20,299515
250,20,299515
251,20,299515
252,20,299515
253,20,299515
254,20,299515
255,20,299515
256,20,299515
257,20,299515
258,20,299515
259,20,299515
260,20,299515
261,20,299515
262,20,299515
263,20,299515
264,20,299515
265,20,299515
266,20,299515
267,20,299515
268,20,299515
269,20,299515
270,20,299515
271,20,299515
272,20,299515
273,20,299515
274,20,299515
275,20,299515
276,20,299515
277,20,299515
278,20,299515
279,20,299515
280,20,299515
281,20,299515
282,20,299515
283,20,299515
284,20,299515
285,20,299515
286,20,299515
287,20,299515
288,20,299515
289,20,299515
290,20,299515
291,20,299515
292,20,299515
293,20,299515
294,20,299515
295,20,299515
296,20,299515
297,20,299515
298,20,299515
299,20,299515
300,20,299515
